iter	Passed	Remaining
351	3564	6561
352	3576	6554
353	3588	6548
354	3598	6537
355	3608	6527
356	3618	6516
357	3627	6504
358	3637	6494
359	3647	6484
360	3657	6473
361	3667	6463
362	3677	6452
363	3687	6442
364	3697	6431
365	3707	6421
366	3716	6411
367	3727	6400
368	3737	6390
369	3746	6379
370	3756	6368
371	3766	6357
372	3775	6346
373	3782	6330
374	3792	6320
375	3802	6310
376	3809	6295
377	3820	6285
378	3830	6275
379	3840	6265
380	3850	6255
381	3860	6245
382	3870	6235
383	3878	6222
384	3888	6212
385	3899	6202
386	3909	6191
387	3919	6181
388	3929	6171
389	3939	6161
390	3949	6151
391	3959	6141
392	3969	6131
393	3979	6121
394	3989	6111
395	4000	6101
396	4009	6089
397	4019	6079
398	4028	6068
399	4038	6058
400	4048	6048
401	4059	6038
402	4069	6027
403	4078	6017
404	4088	6007
405	4095	5991
406	4105	5981
407	4115	5971
408	4124	5959
409	4134	5949
410	4144	5939
411	4153	5928
412	4163	5917
413	4173	5907
414	4183	5897
415	4193	5886
416	4203	5876
417	4213	5866
418	4222	5855
419	4232	5844
420	4241	5833
421	4251	5823
422	4261	5813
423	4271	5803
424	4281	5792
425	4291	5782
426	4301	5772
427	4311	5762
428	4321	5752
429	4331	5742
430	4341	5732
431	4351	5721
432	4361	5711
433	4372	5701
434	4381	5691
435	4388	5676
436	4398	5666
437	4408	5656
438	4418	5646
439	4428	5636
440	4438	5625
441	4447	5614
442	4457	5604
443	4467	5594
444	4477	5584
445	4487	5574
446	4498	5565
447	4509	5556
448	4521	5548
449	4532	5539
450	4543	5530
451	4553	5520
452	4564	5511
453	4572	5499
454	4583	5490
455	4595	5482
456	4606	5473
457	4618	5465
458	4630	5458
459	4642	5449
460	4654	5441
461	4665	5433
462	4677	5424
463	4688	5416
464	4699	5407
465	4710	5397
466	4720	5388
467	4732	5379
468	4743	5371
469	4755	5362
470	4766	5353
471	4777	5344
472	4788	5335
473	4796	5322
474	4807	5313
475	4818	5304
476	4829	5295
477	4839	5285
478	4848	5273
479	4859	5264
480	4871	5256
481	4882	5246
482	4892	5237
483	4903	5227
484	4913	5217
485	4924	5207
486	4934	5198
487	4945	5188
488	4955	5178
489	4965	5168
490	4975	5158
491	4982	5144
492	4992	5134
493	5002	5124
494	5010	5111
495	5021	5102
496	5031	5092
497	5041	5082
498	5052	5072
499	5062	5062
500	5073	5053
501	5085	5044
502	5095	5034
503	5105	5024
504	5116	5015
505	5127	5005
506	5138	4996
507	5148	4986
508	5159	4977
509	5169	4966
510	5180	4957
511	5191	4947
512	5202	4938
513	5213	4929
514	5223	4918
515	5234	4909
516	5244	4899
517	5255	4890
518	5265	4880
519	5275	4869
520	5286	4860
521	5297	4850
522	5307	4840
523	5317	4829
524	5327	4820
525	5338	4810
526	5349	4801
527	5368	4799
528	5380	4790
529	5391	4781
530	5403	4772
531	5415	4763
532	5426	4754
533	5438	4745
534	5449	4736
535	5461	4727
536	5472	4718
537	5484	4710
538	5497	4701
539	5508	4692
540	5520	4683
541	5531	4674
542	5542	4665
543	5554	4655
544	5565	4646
545	5577	4637
546	5588	4628
547	5600	4618
548	5611	4609
549	5623	4600
550	5635	4591
551	5646	4582
552	5658	4574
553	5670	4565
554	5679	4554
555	5691	4544
556	5700	4534
557	5712	4525
558	5725	4517
559	5738	4508
560	5751	4500
561	5764	4492
562	5775	4482
563	5788	4474
564	5801	4466
565	5810	4455
566	5822	4446
567	5833	4436
568	5845	4427
569	5856	4418
570	5868	4409
571	5880	4400
572	5893	4391
573	5905	4383
574	5918	4374
575	5930	4365
576	5942	4356
577	5951	4345
578	5962	4335
579	5974	4326
580	5984	4316
581	5996	4306
582	6003	4294
583	6015	4284
584	6026	4275
585	6037	4265
586	6048	4255
587	6060	4246
588	6071	4236
589	6082	4226
590	6093	4216
591	6105	4207
592	6117	4198
593	6130	4189
594	6141	4180
595	6153	4171
596	6166	4162
597	6176	4151
598	6188	4143
599	6201	4134
600	6215	4126
601	6229	4118
602	6242	4109
603	6255	4101
604	6267	4092
605	6280	4083
606	6293	4074
607	6306	4066
608	6319	4057
609	6332	4048
610	6344	4039
611	6357	4030
612	6369	4021
613	6390	4017
614	6403	4008
615	6416	3999
616	6425	3988
617	6438	3979
618	6450	3970
619	6461	3960
620	6473	3950
621	6486	3941
622	6498	3932
623	6507	3921
624	6521	3912
625	6534	3903
626	6547	3894
627	6560	3886
628	6573	3877
629	6586	3868
630	6598	3858
631	6609	3848
632	6622	3839
633	6635	3830
634	6647	3821
635	6659	3811
636	6673	3802
637	6685	3793
638	6696	3783
639	6707	3773
640	6718	3762
641	6729	3752
642	6741	3742
643	6752	3732
644	6764	3722
645	6775	3713
646	6787	3703
647	6796	3691
648	6804	3680
649	6816	3670
650	6827	3660
651	6834	3647
652	6845	3637
653	6853	3625
654	6863	3615
655	6874	3604
656	6885	3594
657	6896	3584
658	6906	3573
659	6917	3563
660	6928	3553
661	6936	3541
662	6947	3531
663	6960	3521
664	6971	3512
665	6981	3501
666	6994	3491
667	7002	3480
668	7010	3468
669	7022	3458
670	7033	3448
671	7044	3438
672	7055	3428
673	7067	3418
674	7079	3408
675	7090	3398
676	7102	3388
677	7113	3378
678	7125	3368
679	7134	3357
680	7145	3347
681	7157	3337
682	7168	3327
683	7180	3317
684	7191	3307
685	7204	3297
686	7216	3287
687	7227	3277
688	7237	3266
689	7250	3257
690	7261	3246
691	7271	3236
692	7282	3226
693	7295	3216
694	7306	3206
695	7314	3195
696	7325	3184
697	7337	3174
698	7348	3164
699	7360	3154
700	7368	3143
701	7379	3132
702	7390	3122
703	7402	3112
704	7413	3102
705	7425	3092
706	7436	3081
707	7446	3071
708	7458	3061
709	7469	3051
710	7481	3040
711	7492	3030
712	7504	3020
713	7515	3010
714	7526	2999
715	7536	2989
716	7547	2978
717	7557	2968
718	7568	2957
719	7578	2947
720	7589	2936
721	7599	2926
722	7610	2915
723	7621	2905
724	7632	2895
725	7643	2884
726	7651	2873
727	7661	2862
728	7672	2852
729	7683	2841
730	7692	2830
731	7703	2820
732	7713	2809
733	7724	2799
734	7736	2789
735	7746	2778
736	7756	2768
737	7768	2757
738	7778	2747
739	7787	2736
740	7798	2725
741	7808	2715
742	7819	2704
743	7827	2693
744	7838	2682
745	7848	2672
746	7858	2661
747	7865	2649
748	7875	2639
749	7885	2628
750	7896	2618
751	7906	2607
752	7915	2596
753	7925	2585
754	7935	2575
755	7945	2564
756	7955	2553
757	7966	2543
758	7976	2532
759	7986	2521
760	7996	2511
761	8006	2500
762	8014	2489
763	8024	2478
764	8034	2468
765	8044	2457
766	8054	2446
767	8062	2435
768	8070	2424
769	8078	2413
770	8088	2402
771	8098	2391
772	8108	2381
773	8119	2370
774	8127	2359
775	8137	2348
776	8147	2338
777	8157	2327
778	8167	2317
779	8177	2306
780	8185	2295
781	8192	2283
782	8201	2273
783	8211	2262
784	8222	2251
785	8229	2240
786	8240	2230
787	8250	2219
788	8260	2208
789	8267	2197
790	8277	2187
791	8287	2176
792	8296	2165
793	8306	2155
794	8316	2144
795	8323	2133
796	8331	2122
797	8339	2111
798	8349	2100
799	8359	2089
800	8368	2078
801	8377	2068
802	8388	2057
803	8396	2046
804	8403	2035
805	8414	2025
806	8424	2014
807	8430	2003
808	8440	1992
809	8448	1981
810	8458	1971
811	8465	1959
812	8475	1949
813	8485	1939
814	8496	1928
815	8506	1918
816	8516	1907
817	8522	1896
818	8532	1885
819	8540	1874
820	8550	1864
821	8560	1853
822	8570	1843
823	8577	1832
824	8587	1821
825	8597	1811
826	8607	1800
827	8617	1790
828	8627	1779
829	8636	1768
830	8646	1758
831	8656	1747
832	8666	1737
833	8672	1726
834	8682	1715
835	8691	1705
836	8699	1694
837	8709	1683
838	8717	1672
839	8727	1662
840	8737	1651
841	8746	1641
842	8754	1630
843	8764	1620
844	8774	1609
845	8784	1599
846	8794	1588
847	8805	1578
848	8815	1567
849	8825	1557
850	8835	1547
851	8845	1536
852	8855	1526
853	8865	1515
854	8875	1505
855	8883	1494
856	8893	1484
857	8904	1473
858	8911	1462
859	8918	1451
860	8927	1441
861	8938	1430
862	8948	1420
863	8957	1410
864	8964	1399
865	8971	1388
866	8981	1377
867	8989	1367
868	9000	1356
869	9010	1346
870	9020	1335
871	9030	1325
872	9038	1314
873	9048	1304
874	9055	1293
875	9065	1283
876	9075	1272
877	9081	1261
878	9091	1251
879	9101	1241
880	9111	1230
881	9121	1220
882	9131	1209
883	9140	1199
884	9147	1188
885	9157	1178
886	9164	1167
887	9172	1156
888	9182	1146
889	9188	1135
890	9198	1125
891	9208	1114
892	9218	1104
893	9227	1094
894	9237	1083
895	9247	1073
896	9254	1062
897	9264	1052
898	9274	1041
899	9284	1031
900	9294	1021
901	9302	1010
902	9312	1000
903	9321	989
904	9331	979
905	9340	969
906	9350	958
907	9360	948
908	9368	937
909	9378	927
910	9388	917
911	9398	906
912	9408	896
913	9418	886
914	9426	875
915	9436	865
916	9446	855
917	9452	844
918	9462	834
919	9472	823
920	9482	813
921	9492	803
922	9502	792
923	9510	782
924	9520	771
925	9527	761
926	9537	751
927	9546	740
928	9556	730
929	9566	720
930	9576	709
931	9586	699
932	9596	689
933	9606	678
934	9615	668
935	9625	658
936	9635	647
937	9645	637
938	9655	627
939	9666	616
940	9676	606
941	9682	596
942	9690	585
943	9701	575
944	9709	565
945	9719	554
946	9725	544
947	9735	533
948	9745	523
949	9755	513
950	9765	503
951	9775	492
952	9785	482
953	9796	472
954	9804	461
955	9814	451
956	9824	441
957	9834	431
958	9844	420
959	9852	410
960	9858	400
961	9869	389
962	9876	379
963	9886	369
964	9896	358
965	9907	348
966	9916	338
967	9926	328
968	9933	317
969	9943	307
970	9954	297
971	9964	287
972	9974	276
973	9984	266
974	9994	256
975	10002	245
976	10012	235
977	10022	225
978	10032	215
979	10042	204
980	10052	194
981	10059	184
982	10067	174
983	10078	163
984	10088	153
985	10098	143
986	10108	133
987	10119	122
988	10129	112
989	10139	102
990	10149	92
991	10159	81
992	10170	71
993	10180	61
994	10190	51
995	10201	40
996	10211	30
997	10221	20
998	10231	10
999	10242	0
