iter	RMSE
0	0.3255708408
1	0.3232788053
2	0.3210339319
3	0.3187678735
4	0.3165678101
5	0.3143498638
6	0.3121795161
7	0.3099987888
8	0.3079224385
9	0.3059867768
10	0.3039271114
11	0.3019164883
12	0.2999733168
13	0.2980197758
14	0.2960824622
15	0.2941196321
16	0.2921584381
17	0.2902211385
18	0.2883468198
19	0.286580024
20	0.2847573065
21	0.2829961411
22	0.2811900527
23	0.2793694257
24	0.2775391664
25	0.2758872347
26	0.2741488789
27	0.2724159094
28	0.2708090951
29	0.2690990499
30	0.2674960108
31	0.2658550267
32	0.2642191675
33	0.262654111
34	0.2611595919
35	0.2596168225
36	0.2580734851
37	0.2565811579
38	0.2550042596
39	0.2534926432
40	0.2519893353
41	0.2505606147
42	0.2490385281
43	0.2476323523
44	0.2461861246
45	0.2448281985
46	0.2434377336
47	0.2420849065
48	0.2407498456
49	0.2393586093
50	0.2380629606
51	0.2367723092
52	0.2355598025
53	0.2342477135
54	0.2329759914
55	0.2316845312
56	0.2304924332
57	0.229254817
58	0.2279733824
59	0.2267771103
60	0.2255492162
61	0.2243926832
62	0.223178672
63	0.2220326827
64	0.2209077113
65	0.2197651163
66	0.2186304918
67	0.2175238216
68	0.2163982843
69	0.215329552
70	0.214215722
71	0.2131269844
72	0.2121450492
73	0.2111419915
74	0.2101346282
75	0.2091790589
76	0.2082255209
77	0.2072705924
78	0.206305697
79	0.2053482126
80	0.204390805
81	0.2034343993
82	0.2024877651
83	0.2015377269
84	0.200620009
85	0.1997589428
86	0.1988417641
87	0.1979824117
88	0.1970920309
89	0.1962311578
90	0.1953809606
91	0.1945622668
92	0.1937038125
93	0.1929260435
94	0.1920520238
95	0.1912531719
96	0.1904660441
97	0.1896844814
98	0.1888949828
99	0.1880881307
100	0.1873819714
101	0.1866244059
102	0.1858897679
103	0.1851209197
104	0.1843536732
105	0.1836798628
106	0.1830283321
107	0.182263692
108	0.1815933303
109	0.1809142101
110	0.180208726
111	0.1794749961
112	0.1787976524
113	0.1781625576
114	0.177484618
115	0.1768691385
116	0.1762892719
117	0.1756703807
118	0.175058797
119	0.1744295869
120	0.1738271178
121	0.1731672717
122	0.1726055049
123	0.1719669704
124	0.1713917435
125	0.1707816495
126	0.1702151817
127	0.1697155432
128	0.1692543387
129	0.1686768096
130	0.1681173519
131	0.1675830362
132	0.1670524003
133	0.1665522694
134	0.1660562033
135	0.1655380348
136	0.1650349282
137	0.1645104064
138	0.1639884885
139	0.1634861876
140	0.1629734622
141	0.1624868398
142	0.1619507659
143	0.1615266474
144	0.1610615138
145	0.1605410334
146	0.1600772091
147	0.159680437
148	0.1592589684
149	0.1587995809
150	0.1583624271
151	0.1579492667
152	0.1574674345
153	0.1570620106
154	0.1566161829
155	0.1562226232
156	0.1557575815
157	0.1553621552
158	0.1549450325
159	0.154504487
160	0.1541414054
161	0.1537407736
162	0.1533663617
163	0.1529970561
164	0.1526047234
165	0.152235041
166	0.1518850561
167	0.1515088012
168	0.1511017321
169	0.1507841478
170	0.1504245151
171	0.1500382232
172	0.1497098897
173	0.1493385758
174	0.1490052315
175	0.1487149762
176	0.1484145491
177	0.1480813151
178	0.1477530857
179	0.1474348192
180	0.1471141291
181	0.146780479
182	0.1464656477
183	0.1461743272
184	0.1458515606
185	0.1455905259
186	0.145288623
187	0.1449879534
188	0.1447043622
189	0.1443858719
190	0.1440890932
191	0.1438103097
192	0.1435402866
193	0.1432518548
194	0.1429645556
195	0.1426958959
196	0.1424209521
197	0.1421708523
198	0.1419166175
199	0.1416455083
200	0.1414167002
201	0.1411452249
202	0.1408759278
203	0.1405779397
204	0.1403055639
205	0.1400286115
206	0.1397474641
207	0.1395311024
208	0.1392526891
209	0.1390035508
210	0.1387524643
211	0.1385133696
212	0.1383001142
213	0.1380474813
214	0.137806468
215	0.1375973269
216	0.1373762577
217	0.1372306924
218	0.1370308937
219	0.1368148426
220	0.1365926148
221	0.1363680181
222	0.1361468884
223	0.1359330452
224	0.1356962212
225	0.1354704717
226	0.1352468661
227	0.1350450603
228	0.1348894315
229	0.1346655043
230	0.1344792028
231	0.1343285981
232	0.1341371233
233	0.1339434486
234	0.1337214584
235	0.1335303068
236	0.1333501169
237	0.1331324391
238	0.1329720842
239	0.1328348447
240	0.1326546826
241	0.1324862107
242	0.1323181927
243	0.1321479739
244	0.1320123835
245	0.1318605616
246	0.1317081519
247	0.1315331577
248	0.1313884264
249	0.1312145297
250	0.1310552802
251	0.1308789344
252	0.13072187
253	0.1306037009
254	0.1304404916
255	0.1303161847
256	0.1301526503
257	0.1300059214
258	0.1298682862
259	0.12971068
260	0.1295697301
261	0.1294039636
262	0.1292785317
263	0.1291421047
264	0.1290056264
265	0.1288330263
266	0.1287046182
267	0.1285913095
268	0.1284833298
269	0.1283449089
270	0.1282233851
271	0.1281013576
272	0.1279684927
273	0.127815234
274	0.1276853405
275	0.1275721377
276	0.1274471153
277	0.1273219773
278	0.1271823286
279	0.1270358681
280	0.1269308628
281	0.1268255235
282	0.1266973571
283	0.1265804609
284	0.126452957
285	0.1263215022
286	0.1261861281
287	0.1260901711
288	0.1259796893
289	0.1258512472
290	0.1256964187
291	0.1255842478
292	0.1254557681
293	0.1253531586
294	0.1252529956
295	0.1251225852
296	0.1249902251
297	0.1249107005
298	0.1248101973
299	0.1247321535
300	0.1246180647
301	0.1245226901
302	0.1244411267
303	0.1243291165
304	0.1242366055
305	0.1241372043
306	0.1240121442
307	0.1238764853
308	0.1237924417
309	0.1237059054
310	0.12362889
311	0.1235296375
312	0.1234122271
313	0.1233320586
314	0.1232574521
315	0.123151784
316	0.1230411687
317	0.1229661985
318	0.1228901365
319	0.1227932885
320	0.122727995
321	0.1226522624
322	0.1225899192
323	0.12251054
324	0.1224278204
325	0.1223303013
326	0.1222344647
327	0.1221800194
328	0.1221015094
329	0.1220087481
330	0.1219179794
331	0.1218446926
332	0.1217601207
333	0.1216886394
334	0.1215998217
335	0.1215248835
336	0.1214580395
337	0.1213641676
338	0.1212938735
339	0.1212000683
340	0.1211413323
341	0.1210669589
342	0.1209815387
343	0.1209064687
344	0.1208493895
345	0.1207620986
346	0.120680765
347	0.120606864
348	0.1205273408
349	0.1204512381
350	0.1203887233
351	0.1203374055
352	0.1202749042
353	0.1202044753
354	0.1201324212
355	0.1200710219
356	0.1199888552
357	0.119916418
358	0.1198350526
359	0.119744156
360	0.1196749584
361	0.1195965067
362	0.1195393955
363	0.1194807801
364	0.1194348546
365	0.1193688163
366	0.1193349785
367	0.1192816624
368	0.1192198443
369	0.1191668517
370	0.119137253
371	0.119076126
372	0.1190237235
373	0.1189658222
374	0.1189301189
375	0.1188715053
376	0.1188140572
377	0.1187487911
378	0.1187015383
379	0.1186433711
380	0.1185929529
381	0.1185522253
382	0.1185118762
383	0.1184314442
384	0.1183741601
385	0.1183260335
386	0.1182585579
387	0.1182028075
388	0.1181431858
389	0.1180717702
390	0.1180268656
391	0.1179753132
392	0.117927856
393	0.1178616613
394	0.1178190072
395	0.1177592695
396	0.1176938608
397	0.1176552262
398	0.1176003885
399	0.117554959
400	0.1175007098
401	0.1174500482
402	0.1173964451
403	0.1173533825
404	0.1173000926
405	0.1172372297
406	0.1171735505
407	0.1171461225
408	0.1171003279
409	0.1170691677
410	0.1170124214
411	0.1169617138
412	0.1169158234
413	0.1168569486
414	0.1167987897
415	0.1167718575
416	0.11673349
417	0.1166604177
418	0.1166461208
419	0.1166102524
420	0.1165647452
421	0.1165278318
422	0.1164836886
423	0.1164448028
424	0.1163817629
425	0.1163572604
426	0.1163211167
427	0.1162593254
428	0.1162053118
429	0.1161779684
430	0.1161354616
431	0.1160862879
432	0.1160220723
433	0.1159576544
434	0.1159378904
435	0.1158930336
